# Generated from Minecraft vanilla language assets.
# Format: surface<TAB>reading<TAB>category<TAB>minecraft_id<TAB>source
# Reading is a conservative candidate. Review before bulk AmiVoice registration.
アカシアのボタン	アカシアのボタン	vanilla_block	minecraft:acacia_button	minecraft-1.21.4
アカシアのドア	アカシアのドア	vanilla_block	minecraft:acacia_door	minecraft-1.21.4
アカシアのフェンス	アカシアのフェンス	vanilla_block	minecraft:acacia_fence	minecraft-1.21.4
アカシアのフェンスゲート	アカシアのフェンスゲート	vanilla_block	minecraft:acacia_fence_gate	minecraft-1.21.4
アカシアの吊り看板	アカシアの吊り看板	vanilla_block	minecraft:acacia_hanging_sign	minecraft-1.21.4
アカシアの葉	アカシアの葉	vanilla_block	minecraft:acacia_leaves	minecraft-1.21.4
アカシアの原木	アカシアの原木	vanilla_block	minecraft:acacia_log	minecraft-1.21.4
アカシアの板材	アカシアの板材	vanilla_block	minecraft:acacia_planks	minecraft-1.21.4
アカシアの感圧板	アカシアの感圧板	vanilla_block	minecraft:acacia_pressure_plate	minecraft-1.21.4
アカシアの苗木	アカシアの苗木	vanilla_block	minecraft:acacia_sapling	minecraft-1.21.4
アカシアの看板	アカシアの看板	vanilla_block	minecraft:acacia_sign	minecraft-1.21.4
アカシアのハーフブロック	アカシアのハーフブロック	vanilla_block	minecraft:acacia_slab	minecraft-1.21.4
アカシアの階段	アカシアの階段	vanilla_block	minecraft:acacia_stairs	minecraft-1.21.4
アカシアのトラップドア	アカシアのトラップドア	vanilla_block	minecraft:acacia_trapdoor	minecraft-1.21.4
壁に付けられたアカシアの吊り看板	壁に付けられたアカシアの吊り看板	vanilla_block	minecraft:acacia_wall_hanging_sign	minecraft-1.21.4
壁に付けられたアカシアの看板	壁に付けられたアカシアの看板	vanilla_block	minecraft:acacia_wall_sign	minecraft-1.21.4
アカシアの木	アカシアの木	vanilla_block	minecraft:acacia_wood	minecraft-1.21.4
アクティベーターレール	アクティベーターレール	vanilla_block	minecraft:activator_rail	minecraft-1.21.4
空気	空気	vanilla_block	minecraft:air	minecraft-1.21.4
アリウム	アリウム	vanilla_block	minecraft:allium	minecraft-1.21.4
アメジストブロック	アメジストブロック	vanilla_block	minecraft:amethyst_block	minecraft-1.21.4
アメジストの塊	アメジストの塊	vanilla_block	minecraft:amethyst_cluster	minecraft-1.21.4
古代の残骸	古代の残骸	vanilla_block	minecraft:ancient_debris	minecraft-1.21.4
安山岩	安山岩	vanilla_block	minecraft:andesite	minecraft-1.21.4
安山岩のハーフブロック	安山岩のハーフブロック	vanilla_block	minecraft:andesite_slab	minecraft-1.21.4
安山岩の階段	安山岩の階段	vanilla_block	minecraft:andesite_stairs	minecraft-1.21.4
安山岩の塀	安山岩の塀	vanilla_block	minecraft:andesite_wall	minecraft-1.21.4
金床	金床	vanilla_block	minecraft:anvil	minecraft-1.21.4
実がなったスイカの茎	実がなったスイカの茎	vanilla_block	minecraft:attached_melon_stem	minecraft-1.21.4
実がなったカボチャの茎	実がなったカボチャの茎	vanilla_block	minecraft:attached_pumpkin_stem	minecraft-1.21.4
ツツジ	ツツジ	vanilla_block	minecraft:azalea	minecraft-1.21.4
ツツジの葉	ツツジの葉	vanilla_block	minecraft:azalea_leaves	minecraft-1.21.4
ヒナソウ	ヒナソウ	vanilla_block	minecraft:azure_bluet	minecraft-1.21.4
竹	竹	vanilla_block	minecraft:bamboo	minecraft-1.21.4
竹ブロック	竹ブロック	vanilla_block	minecraft:bamboo_block	minecraft-1.21.4
竹のボタン	竹のボタン	vanilla_block	minecraft:bamboo_button	minecraft-1.21.4
竹のドア	竹のドア	vanilla_block	minecraft:bamboo_door	minecraft-1.21.4
竹のフェンス	竹のフェンス	vanilla_block	minecraft:bamboo_fence	minecraft-1.21.4
竹のフェンスゲート	竹のフェンスゲート	vanilla_block	minecraft:bamboo_fence_gate	minecraft-1.21.4
竹の吊り看板	竹の吊り看板	vanilla_block	minecraft:bamboo_hanging_sign	minecraft-1.21.4
竹細工	竹細工	vanilla_block	minecraft:bamboo_mosaic	minecraft-1.21.4
竹細工のハーフブロック	竹細工のハーフブロック	vanilla_block	minecraft:bamboo_mosaic_slab	minecraft-1.21.4
竹細工の階段	竹細工の階段	vanilla_block	minecraft:bamboo_mosaic_stairs	minecraft-1.21.4
竹の板材	竹の板材	vanilla_block	minecraft:bamboo_planks	minecraft-1.21.4
竹の感圧板	竹の感圧板	vanilla_block	minecraft:bamboo_pressure_plate	minecraft-1.21.4
タケノコ	タケノコ	vanilla_block	minecraft:bamboo_sapling	minecraft-1.21.4
竹の看板	竹の看板	vanilla_block	minecraft:bamboo_sign	minecraft-1.21.4
竹のハーフブロック	竹のハーフブロック	vanilla_block	minecraft:bamboo_slab	minecraft-1.21.4
竹の階段	竹の階段	vanilla_block	minecraft:bamboo_stairs	minecraft-1.21.4
竹のトラップドア	竹のトラップドア	vanilla_block	minecraft:bamboo_trapdoor	minecraft-1.21.4
壁に付けられた竹の吊り看板	壁に付けられた竹の吊り看板	vanilla_block	minecraft:bamboo_wall_hanging_sign	minecraft-1.21.4
壁に付けられた竹の看板	壁に付けられた竹の看板	vanilla_block	minecraft:bamboo_wall_sign	minecraft-1.21.4
黒色の下地	黒色の下地	vanilla_block	minecraft:banner.base.black	minecraft-1.21.4
青色の下地	青色の下地	vanilla_block	minecraft:banner.base.blue	minecraft-1.21.4
茶色の下地	茶色の下地	vanilla_block	minecraft:banner.base.brown	minecraft-1.21.4
青緑色の下地	青緑色の下地	vanilla_block	minecraft:banner.base.cyan	minecraft-1.21.4
灰色の下地	灰色の下地	vanilla_block	minecraft:banner.base.gray	minecraft-1.21.4
緑色の下地	緑色の下地	vanilla_block	minecraft:banner.base.green	minecraft-1.21.4
空色の下地	空色の下地	vanilla_block	minecraft:banner.base.light_blue	minecraft-1.21.4
薄灰色の下地	薄灰色の下地	vanilla_block	minecraft:banner.base.light_gray	minecraft-1.21.4
黄緑色の下地	黄緑色の下地	vanilla_block	minecraft:banner.base.lime	minecraft-1.21.4
赤紫色の下地	赤紫色の下地	vanilla_block	minecraft:banner.base.magenta	minecraft-1.21.4
橙色の下地	橙色の下地	vanilla_block	minecraft:banner.base.orange	minecraft-1.21.4
